,Tipo,Alto,Normal,Baixo,Mínimo
01/2013,Tipo1,,870.37,602.98,521.04
01/2013,Tipo2,,978.8,677.45,585.42
01/2013,Tipo3,,974.2,691.48,606.03
01/2013,Tipo4,965.66,829.03,571.12,
01/2013,Tipo5,,1057.24,732.23,637
01/2013,Tipo6,,898.1,679.06,604.82
01/2013,Tipo7,,777.92,591.22,523.65
02/2013,Tipo1,,870.62,604.88,522.83
02/2013,Tipo2,,979.16,679.57,587.4
02/2013,Tipo3,,974.54,693.58,607.96
02/2013,Tipo4,966.19,829.04,572.85,
02/2013,Tipo5,,1057.7,734.44,639.12
02/2013,Tipo6,,898.29,680.33,605.94
02/2013,Tipo7,,778.22,592.35,524.66
03/2013,Tipo1,,870.31,607.91,525.92
03/2013,Tipo2,,978.74,682.83,590.76
03/2013,Tipo3,,973.66,696.25,610.94
03/2013,Tipo4,970.03,828.13,575.29,
03/2013,Tipo5,,1056.91,737.74,642.73
03/2013,Tipo6,,898.31,682.23,607.91
03/2013,Tipo7,,777.37,593.68,526.26
04/2013,Tipo1,,874.64,610.41,532.68
04/2013,Tipo2,,983.89,686.07,598.62
04/2013,Tipo3,,978.81,700.02,619.04
04/2013,Tipo4,976.14,832.38,577.69,
04/2013,Tipo5,,1062.74,741.86,651.17
04/2013,Tipo6,,903.33,687.61,615.31
04/2013,Tipo7,,782.43,598.32,533.55
05/2013,Tipo1,,824.72,575.44,499.21
05/2013,Tipo2,,928.02,646.83,561.19
05/2013,Tipo3,,922.75,659.55,580.28
05/2013,Tipo4,925.62,785.26,544.56,
05/2013,Tipo5,,1002.98,699.59,610.51
05/2013,Tipo6,,849.22,646.01,575.18
05/2013,Tipo7,,739.02,564.45,500.71
06/2013,Tipo1,,886.91,619.69,541.45
06/2013,Tipo2,,997.69,696.52,608.5
06/2013,Tipo3,,993.11,711.03,629.57
06/2013,Tipo4,987.63,844.6,586.56,
06/2013,Tipo5,,1077.04,753.15,661.66
06/2013,Tipo6,,917.38,698.84,625.03
06/2013,Tipo7,,793.27,607.09,541.57
07/2013,Tipo1,,874.03,610.14,532
07/2013,Tipo2,,983.79,686.14,598.3
07/2013,Tipo3,,979.2,700.48,619.11
07/2013,Tipo4,974.69,832,577.46,
07/2013,Tipo5,,1062.21,741.69,650.43
07/2013,Tipo6,,905.11,688.12,614.2
07/2013,Tipo7,,783.71,599,533.47
08/2013,Tipo1,,874.77,609.4,531.26
08/2013,Tipo2,,984.43,685.16,597.37
08/2013,Tipo3,,979.9,699.86,618.52
08/2013,Tipo4,976.69,832.25,576.43,
08/2013,Tipo5,,1063.39,740.99,649.78
08/2013,Tipo6,,903.95,685.66,611.76
08/2013,Tipo7,,781.72,596.14,530.61
09/2013,Tipo1,,875.75,609.28,530.63
09/2013,Tipo2,,985.44,685.14,596.8
09/2013,Tipo3,,980.44,699.4,617.61
09/2013,Tipo4,979.33,833.37,576.42,
09/2013,Tipo5,,1064.25,740.91,649.15
09/2013,Tipo6,,905.29,687,612.78
09/2013,Tipo7,,783.21,597.63,531.73
10/2013,Tipo1,,879.55,612.88,534.66
10/2013,Tipo2,,989.83,689.19,601.37
10/2013,Tipo3,,984.37,703.2,621.87
10/2013,Tipo4,983.24,836.68,579.63,
