DateTime,PIB,PIB_POR,PIB_Const,PIB_Const_POR,Ibovespa,Dolar,Selic,Desemprego,IPCA_acu_ano,IPCA_mês,Salario,Conc_Credito_Pjuridica,Conc_Credito_Pfisica,Conc_Total,Cesta_Basica
01/2013,"2,473",,,,"59761,5","2,037",7.14,7.2,6.15,"0,86",678,110270,124895,235165,"287,94"
02/2013,"2,473",,,,"57424,3","1,96",7.12,7.7,6.31,"0,6",678,107509,115171,222680,"286,34"
03/2013,"2,473",2.2,"68076,199","1,5","56352,1","1,975",7.12,8,6.59,"0,47",678,123133,121230,244363,"287,78"
04/2013,"2,473",,,,"55910,4","1,979",7.16,7.8,6.49,"0,55",678,126943,131060,258003,"284,22"
05/2013,"2,473",,,,"53506,1","2,023",7.4,7.6,6.5,"0,37",678,138061,131734,269795,"293,96"
06/2013,"2,473",2.9,"73383,546",3,"47457,1","2,137",7.9,7.4,6.7,"0,26",678,128990,123404,252394,"289,62"
07/2013,"2,473",,,,"48234,5","2,255",7.9,7.3,6.27,"0,03",678,123553,133553,257106,"269,34"
08/2013,"2,473",,,,"50011,8","2,343",8.4,7.1,06.09,"0,24",678,123669,133300,256969,"258,45"
09/2013,"2,473",3,"76609,652","3,7","52338,2","2,279",8.9,6.9,5.86,"0,35",678,127632,130512,258144,"257,99"
10/2013,"2,473",,,,"54256,2","2,182",8.9,6.7,5.84,"0,57",678,132520,137932,270452,"262,47"
11/2013,"2,473",,,,"52482,5","2,329",9.4,6.5,5.77,"0,54",678,128664,133741,262405,"254,44"
12/2013,"2,473",3,"72571,603","4,5","51507,2","2,335",9.9,6.2,5.91,"0,92",678,146901,148855,295756,"274,67"
01/2014,"2,456",,,,47639,"2,347",9.9,6.4,5.59,"0,55",724,113012,139747,252759,"273,84"
02/2014,"2,456",,,,"47094,4","2,392",10.4,6.7,5.68,"0,69",724,117479,139170,256649,"275,32"
03/2014,"2,456",3.2,"76132,12","6,2","50414,9","2,364",10.65,7.2,6.15,"0,92",724,127705,137227,264932,"310,04"
04/2014,"2,456",,,,"51626,7","2,226",10.65,7.1,6.28,"0,67",724,127123,140446,267569,"293,27"
05/2014,"2,456",,,,"51239,3","2,217",10.9,7,6.37,"0,46",724,129610,143649,273259,"296,77"
06/2014,"2,456",2.1,"76014,443","3,4","53168,2","2,235",10.9,6.8,6.52,"0,4",724,131104,140161,271265,"295,12"
07/2014,"2,456",,,,"55829,4","2,22",10.9,6.9,6.5,"0,01",724,119494,145642,265136,"280,93"
08/2014,"2,456",,,,"61288,2","2,269",10.9,6.9,6.51,"0,25",724,119008,140256,259264,"276,18"
09/2014,"2,456",1.2,"76007,996","-0,4",54116,"2,34",10.9,6.8,6.75,"0,57",724,131368,147609,278977,"279,95"
10/2014,"2,456",,,,"54628,6","2,432",10.9,6.6,6.59,"0,42",724,126461,155624,282085,"287,46"
11/2014,"2,456",,,,54724,"2,614",11.15,6.5,6.56,"0,51",724,120124,143135,263259,"295,79"
12/2014,"2,456",0.5,"78791,442","-2,1","50007,4","2,672",11.25,6.5,6.41,"0,78",724,144480,162630,307110,"301,21"
01/2015,"1,802",,,,"46907,7","2,612",11.75,6.8,7.14,"1,24",788,114317,147621,261938,"323,73"
02/2015,"1,802",,,,"51583,1","2,839",12.25,7.4,7.7,"1,22",788,103402,135336,238738,"325,64"
03/2015,"1,802",-0.7,"73681,801","-6,4","51150,2","3,226",12.25,7.9,8.13,"1,32",788,135141,153100,288241,"323,48"
04/2015,"1,802",,,,"56229,4","3,068",12.75,8,8.17,"0,71",788,123670,145027,268697,"327,69"
05/2015,"1,802",,,,"52760,5","2,988",13.25,8.1,8.47,"0,74",788,122714,145960,268674,"347,03"
06/2015,"1,802",-1.3,"71400,969","-8,3","53080,9","3,104",13.25,8.3,8.89,"0,79",788,134201,146202,280403,"329,65"
07/2015,"1,802",,,,"50864,8","3,153",13.75,8.5,9.56,"0,62",788,120864,145362,266226,"327,47"
08/2015,"1,802",,,,"46625,5","3,476",14.25,8.7,9.53,"0,22",788,114729,142935,257664,"320,69"
09/2015,"1,802",-2.2,"76554,212","-7,8","45059,3","3,86",14.25,8.9,9.49,"0,54",788,125075,141734,266809,"311,2"
10/2015,"1,802",,,,"45868,8","3,834",14.25,8.9,9.93,"0,82",788,118157,141477,259634,"310,73"
11/2015,"1,802",,,,"45120,4","3,802",14.25,9,10.48,"1,01",788,118851,146438,265289,"321,85"
12/2015,"1,802",-3.5,"74381,018",-9,43350,"3,87",14.25,8.9,10.67,"0,96",788,143973,152384,296357,"335,87"
01/2016,"1,796",,,,40406,"3,871",14.25,9.5,10.71,"1,27",880,98105,120849,218954,"335,58"
02/2016,"1,796",,,,"42793,9","3,989",14.25,10.2,10.36,"0,9",880,100113,124522,224635,"388,45"
03/2016,"1,796",-4.4,"68212,117","-8,9","50055,3","3,712",14.25,10.9,9.39,"0,43",880,118560,129887,248447,"371,8"
04/2016,"1,796",,,,"53910,5","3,528",14.25,11.2,9.28,"0,61",880,106196,123498,229694,"378,45"
05/2016,"1,796",,,,"48471,7","3,504",14.25,11.2,9.32,"0,78",880,112836,131862,244698,"382,16"
06/2016,"1,796",-4.6,"68904,608","-8,3","51526,9","3,477",14.25,11.3,8.84,"0,35",880,115582,130779,246361,"385,24"
07/2016,"1,796",,,,"57308,2","3,266",14.25,11.6,8.74,"0,52",880,95891,126574,222465,"421,46"
08/2016,"1,796",,,,"57901,1","3,167",14.25,11.8,8.97,"0,44",880,102081,135361,237442,"424,47"
09/2016,"1,796",-4.1,"70772,724","-9,1",58367,"3,333",14.25,11.8,8.48,"0,08",880,107469,125457,232926,"411,12"
10/2016,"1,796",,,,"64924,5","3,186",14.25,11.8,7.87,"0,26",880,100155,131301,231456,"393,39"
