,Tipo,Alto,Normal,Baixo,Mínimo
1/2005,Tipo1,,491.59,357.25,296.73
1/2005,Tipo2,,552.51,400.47,333.38
1/2005,Tipo3,,547.9,405.8,343.79
1/2005,Tipo4,552.31,467.12,337.99,
1/2005,Tipo5,,598.81,432.28,363.71
1/2005,Tipo6,,506.95,395.42,343.96
1/2005,Tipo7,,445.69,350.15,301.51
2/2005,Tipo1,,490.03,358.33,297.39
2/2005,Tipo2,,550.97,401.83,334.26
2/2005,Tipo3,,546.49,407,344.6
2/2005,Tipo4,553.48,465.77,338.97,
2/2005,Tipo5,,597.11,433.77,364.65
2/2005,Tipo6,,507.06,397.35,345.47
2/2005,Tipo7,,446.04,352.13,303.13
3/2005,Tipo1,,490.93,359.22,297.62
3/2005,Tipo2,,551.89,402.76,334.51
3/2005,Tipo3,,547.31,407.77,344.72
3/2005,Tipo4,555.19,466.66,339.8,
3/2005,Tipo5,,598.06,434.7,364.87
3/2005,Tipo6,,507.95,398.13,345.62
3/2005,Tipo7,,446.79,352.83,303.23
4/2005,Tipo1,,493.01,359.75,297.89
4/2005,Tipo2,,554.1,403.35,334.79
4/2005,Tipo3,,549.38,408.31,344.99
4/2005,Tipo4,560.63,468.64,340.3,
4/2005,Tipo5,,600.39,435.34,365.18
4/2005,Tipo6,,509.21,398.53,345.67
4/2005,Tipo7,,447.7,353.1,303.26
5/2005,Tipo1,,507.43,369.15,305.73
5/2005,Tipo2,,570.27,413.96,343.65
5/2005,Tipo3,,565.44,419.16,354.12
5/2005,Tipo4,575.37,482.55,349.31,
5/2005,Tipo5,,617.96,446.91,374.89
5/2005,Tipo6,,524,409.46,355.19
5/2005,Tipo7,,459.74,361.99,310.78
6/2005,Tipo1,,510.13,370.91,307.43
6/2005,Tipo2,,573.35,415.99,345.57
6/2005,Tipo3,,568.47,421.19,356.03
6/2005,Tipo4,577.33,485.08,350.89,
6/2005,Tipo5,,621.3,449.11,376.99
6/2005,Tipo6,,526.52,411.39,357.01
6/2005,Tipo7,,462.16,363.77,312.48
7/2005,Tipo1,,511.37,372.12,308.51
7/2005,Tipo2,,574.86,417.49,346.92
7/2005,Tipo3,,570.21,422.72,357.45
7/2005,Tipo4,578.38,486.57,352.07,
7/2005,Tipo5,,622.62,450.71,378.42
7/2005,Tipo6,,528.79,413.61,359.11
7/2005,Tipo7,,464.56,366.12,314.74
8/2005,Tipo1,,512.17,372.51,308.82
