MÊS,ANO,PIB,PIB_CONS,vol_PIB_BRASIL,vol_PIB_GOIAS,IBOVESPA_POR,DOLAR,SELIC,Desemprego(),PJ total,PF não rotativo,IPCA,Salário
01,2005,,,2170584503,53865113,-7.04,27074,18.25,,,,,
02,2005,,,,,15.55,25762,18.25,,,,,
03,2005,5.8,11087539690506,,,-5.43,27621,18.75,,,,,
04,2005,,,,,-6.64,25971,19.24,,,,,
05,2005,,,,,1.46,24715,19.51,,,,,300
06,2005,5.4,791893273561231,,,-0.62,24455,19.75,,,,,300
07,2005,,,,,3.96,23427,19.73,,,,,300
08,2005,,,,,7.69,23422,19.75,,,,,300
09,2005,4.2,11871501187652,,,12.62,23012,19.74,,,,,300
10,2005,,,,,-4.4,22511,19.48,,,,,300
11,2005,,,,,5.71,2199,18.98,,,,,300
12,2005,3.2,-209961000094526,,,4.82,22957,18.49,,,,,300
01,2006,,,2409449916,61375403,14.73,22747,18,,,,,300
02,2006,,,,,0.59,21375,17.26,,,,,300
03,2006,3.2,-247015805112071,,,-1.71,21215,17.26,,,,,300
04,2006,,,,,6.35,21426,16.5,,,,,350
05,2006,,,,,-9.5,21774,15.7,,,,,350
06,2006,2.7,-350284246105207,,,0.28,22845,15.18,,,,,350
07,2006,,,,,1.22,2213,15.18,,,,,350
08,2006,,,,,-2.28,2148,14.67,,,,,350
09,2006,3.3,-125607689607129,,,0.6,2154,14.17,,,,,350
10,2006,,,,,7.72,21419,14.17,,,,,350
11,2006,,,,,6.8,21537,13.67,,,,,350
12,2006,04,0.263220487865601,,,6.06,2147,13.19,,,,,350
01,2007,,,2720262951,71410568,0.38,21407,13.19,,,,,350
02,2007,,,,,-1.68,20896,12.93,,,,,350
03,2007,4.2,154998898597798,,,4.36,20909,12.93,,,,,350
04,2007,,,,,6.88,20231,12.68,,,,,380
05,2007,,,,,6.77,19922,12.68,,,,,380
06,2007,5.3,541435292262356,,,4.06,19097,12.43,,,,,380
07,2007,,,,,-0.39,18684,11.93,,,,,380
08,2007,,,,,0.84,20043,11.43,,,,,380
09,2007,5.6,770288981639884,,,10.67,19031,11.18,,,,,380
10,2007,,,,,8.03,18078,11.18,,,,,380
11,2007,,,,,-3.54,17378,11.18,,,,,380
12,2007,6.1,919699451783864,,,1.4,17959,11.18,,,,,380
01,2008,,,3109803097,82417564,-6.88,1745,11.18,,,,,380
02,2008,,,,,6.72,17541,11.18,,,,,380
03,2008,6.3,894319991514425,,,-3.97,16947,11.18,,,,,415
04,2008,,,,,11.32,16822,11.18,,,,,415
05,2008,,,,,6.96,16601,11.63,,,,,415
06,2008,6.3,684917843534518,,,-10.43,16368,11.63,,,,,415
07,2008,,,,,-8.48,1591,12.17,,,,,415
08,2008,,,,,-6.43,16389,12.92,,,,,415
09,2008,6.5,608191002878646,,,-11.03,18125,12.92,,,,,415
10,2008,,,,,-24.8,21551,13.66,,,,,415
11,2008,,,,,-1.77,2.28,13.65,,,,,415
12,2008,5.1,490726380627047,,,2.61,2369,13.65,,,,,415
01,2009,,,3333039339,92865743,4.66,23803,13.66,,,,,415
02,2009,,,,,-2.84,2268,12.66,,,,,465
03,2009,03,355548196040789,,,7.18,23012,12.66,,,,,465
04,2009,,,,,15.55,21992,11.16,,,,,465
05,2009,,,,,12.49,20762,10.16,,,,,465
06,2009,0.8,381788733883499,,,-3.26,19458,10.16,,,,,465
07,2009,,,,,6.41,1942,9.16,,,,,465
08,2009,,,,,3.15,18385,8.65,,,,,465
09,2009,-1.2,383328205873101,,,8.9,18087,8.65,,,,,465
10,2009,,,,,0.04,17037,8.65,,,,,465
11,2009,,,,,8.93,1729,8.65,,,,,465
12,2009,-0.1,702117604145036,,,2.3,17557,8.65,,,,,465
01,2010,,,3885847000,106770109,-4.65,17711,8.65,,,,,510
02,2010,,,,,1.68,1867,8.65,,,,,510
03,2010,2.6,117113737351352,,,5.82,17644,8.65,,,,5.17,510
04,2010,,,,,-4.04,17483,9.4,,,,5.26,510
05,2010,,,,,-6.64,17967,9.4,,,,5.22,510
06,2010,5.3,149759881798933,,,-3.35,17971,10.16,,,,4.84,510
07,2010,,,,,10.8,1769,10.16,,,,4.6,510
08,2010,,,,,-3.51,17716,10.66,,,,4.49,510
09,2010,7.5,154668211762683,,,6.58,17169,10.66,,,,4.7,510
10,2010,,,,,1.79,16604,10.66,,,,5.2,510
11,2010,,,,,-4.2,17198,10.66,,,,5.63,510
12,2010,7.5,131009998963116,,,2.36,16988,10.66,,,,5.91,510
01,2011,,,4376382000,121296721,-3.94,16843,10.66,,,,5.99,540
02,2011,,,,,1.21,16682,11.17,,,,6.01,540
