MÊS,ANO,PIB,PIB_CONS,vol_PIB_BRASIL,vol_PIB_GOIAS,IBOVESPA_POR,DOLAR,SELIC,Desemprego(%),PJ total,PF não rotativo,IPCA,Salário
01,2005,,,2170584503,53865113,"-7,04%","2,7074","18,25",,,,,
02,2005,,,,,"15,55%","2,5762","18,25",,,,,
03,2005,"5,8","11,09",,,"-5,43%","2,7621","18,75",,,,,
04,2005,,,,,"-6,64%","2,5971","19,24",,,,,
05,2005,,,,,"1,46%","2,4715","19,51",,,,,300
06,2005,"5,4","7,92",,,"-0,62%","2,4455","19,75",,,,,300
07,2005,,,,,"3,96%","2,3427","19,73",,,,,300
08,2005,,,,,"7,69%","2,3422","19,75",,,,,300
09,2005,"4,2","1,19",,,"12,62%","2,3012","19,74",,,,,300
10,2005,,,,,"-4,40%","2,2511","19,48",,,,,300
11,2005,,,,,"5,71%","2,199","18,98",,,,,300
12,2005,"3,2","-2,10",,,"4,82%","2,2957","18,49",,,,,300
01,2006,,,2409449916,61375403,"14,73%","2,2747",18,,,,,300
02,2006,,,,,"0,59%","2,1375","17,26",,,,,300
03,2006,"3,2","-2,47",,,"-1,71%","2,1215","17,26",,,,,300
04,2006,,,,,"6,35%","2,1426","16,5",,,,,350
05,2006,,,,,"-9,50%","2,1774","15,7",,,,,350
06,2006,"2,7","-3,50",,,"0,28%","2,2845","15,18",,,,,350
07,2006,,,,,"1,22%","2,213","15,18",,,,,350
08,2006,,,,,"-2,28%","2,148","14,67",,,,,350
09,2006,"3,3","-1,26",,,"0,60%","2,154","14,17",,,,,350
10,2006,,,,,"7,72%","2,1419","14,17",,,,,350
11,2006,,,,,"6,80%","2,1537","13,67",,,,,350
12,2006,4,"0,26",,,"6,06%","2,147","13,19",,,,,350
01,2007,,,2720262951,71410568,"0,38%","2,1407","13,19",,,,,350
02,2007,,,,,"-1,68%","2,0896","12,93",,,,,350
03,2007,"4,2","1,55",,,"4,36%","2,0909","12,93",,,,,350
04,2007,,,,,"6,88%","2,0231","12,68",,,,,380
05,2007,,,,,"6,77%","1,9922","12,68",,,,,380
06,2007,"5,3","5,41",,,"4,06%","1,9097","12,43",,,,,380
07,2007,,,,,"-0,39%","1,8684","11,93",,,,,380
08,2007,,,,,"0,84%","2,0043","11,43",,,,,380
09,2007,"5,6","7,70",,,"10,67%","1,9031","11,18",,,,,380
10,2007,,,,,"8,03%","1,8078","11,18",,,,,380
11,2007,,,,,"-3,54%","1,7378","11,18",,,,,380
12,2007,"6,1","9,20",,,"1,40%","1,7959","11,18",,,,,380
01,2008,,,3109803097,82417564,"-6,88%","1,745","11,18",,,,,380
02,2008,,,,,"6,72%","1,7541","11,18",,,,,380
03,2008,"6,3","8,94",,,"-3,97%","1,6947","11,18",,,,,415
04,2008,,,,,"11,32%","1,6822","11,18",,,,,415
05,2008,,,,,"6,96%","1,6601","11,63",,,,,415
06,2008,"6,3","6,85",,,"-10,43%","1,6368","11,63",,,,,415
07,2008,,,,,"-8,48%","1,591","12,17",,,,,415
08,2008,,,,,"-6,43%","1,6389","12,92",,,,,415
09,2008,"6,5","6,08",,,"-11,03%","1,8125","12,92",,,,,415
10,2008,,,,,"-24,80%","2,1551","13,66",,,,,415
11,2008,,,,,"-1,77%","2,28","13,65",,,,,415
12,2008,"5,1","4,91",,,"2,61%","2,369","13,65",,,,,415
01,2009,,,3333039339,92865743,"4,66%","2,3803","13,66",,,,,415
02,2009,,,,,"-2,84%","2,268","12,66",,,,,465
03,2009,3,"3,56",,,"7,18%","2,3012","12,66",,,,,465
04,2009,,,,,"15,55%","2,1992","11,16",,,,,465
05,2009,,,,,"12,49%","2,0762","10,16",,,,,465
06,2009,"0,8","3,82",,,"-3,26%","1,9458","10,16",,,,,465
07,2009,,,,,"6,41%","1,942","9,16",,,,,465
08,2009,,,,,"3,15%","1,8385","8,65",,,,,465
09,2009,"-1,2","3,83",,,"8,90%","1,8087","8,65",,,,,465
10,2009,,,,,"0,04%","1,7037","8,65",,,,,465
11,2009,,,,,"8,93%","1,729","8,65",,,,,465
12,2009,"-0,1","7,02",,,"2,30%","1,7557","8,65",,,,,465
01,2010,,,3885847000,106770109,"-4,65%","1,7711","8,65",,,,,510
02,2010,,,,,"1,68%","1,867","8,65",,,,,510
03,2010,"2,6","11,71",,,"5,82%","1,7644","8,65",,,,"5,17",510
04,2010,,,,,"-4,04%","1,7483","9,4",,,,"5,26",510
05,2010,,,,,"-6,64%","1,7967","9,4",,,,"5,22",510
06,2010,"5,3","14,98",,,"-3,35%","1,7971","10,16",,,,"4,84",510
07,2010,,,,,"10,80%","1,769","10,16",,,,"4,60",510
