DateTime,MÊS,ANO,PIB,PIB_CONS,vol_PIB_BRASIL,vol_PIB_GOIAS,IBOVESPA_POR,DOLAR,SELIC,Desemprego,PJ total,PF não rotativo,IPCA,Salário
1/2005,01,2005,,,2170584503,53865113,-7.04,27074,18.25,,,,,
2/2005,02,2005,,,2170584503,53865113,15.55,25762,18.25,,,,,
3/2005,03,2005,5.8,11087539690506,2170584503,53865113,-5.43,27621,18.75,,,,,
4/2005,04,2005,,,2170584503,53865113,-6.64,25971,19.24,,,,,
5/2005,05,2005,,,2170584503,53865113,1.46,24715,19.51,,,,,300
6/2005,06,2005,5.4,791893273561231,2170584503,53865113,-0.62,24455,19.75,,,,,300
7/2005,07,2005,,,2170584503,53865113,3.96,23427,19.73,,,,,300
8/2005,08,2005,,,2170584503,53865113,7.69,23422,19.75,,,,,300
9/2005,09,2005,4.2,11871501187652,2170584503,53865113,12.62,23012,19.74,,,,,300
10/2005,10,2005,,,2170584503,53865113,-4.4,22511,19.48,,,,,300
11/2005,11,2005,,,2170584503,53865113,5.71,2199,18.98,,,,,300
12/2005,12,2005,3.2,-209961000094526,2170584503,53865113,4.82,22957,18.49,,,,,300
1/2006,01,2006,,,2409449916,61375403,14.73,22747,18,,,,,300
2/2006,02,2006,,,2409449916,61375403,0.59,21375,17.26,,,,,300
3/2006,03,2006,3.2,-247015805112071,2409449916,61375403,-1.71,21215,17.26,,,,,300
4/2006,04,2006,,,2409449916,61375403,6.35,21426,16.5,,,,,350
5/2006,05,2006,,,2409449916,61375403,-9.5,21774,15.7,,,,,350
6/2006,06,2006,2.7,-350284246105207,2409449916,61375403,0.28,22845,15.18,,,,,350
7/2006,07,2006,,,2409449916,61375403,1.22,2213,15.18,,,,,350
8/2006,08,2006,,,2409449916,61375403,-2.28,2148,14.67,,,,,350
9/2006,09,2006,3.3,-125607689607129,2409449916,61375403,0.6,2154,14.17,,,,,350
10/2006,10,2006,,,2409449916,61375403,7.72,21419,14.17,,,,,350
11/2006,11,2006,,,2409449916,61375403,6.8,21537,13.67,,,,,350
12/2006,12,2006,04,0.263220487865601,2409449916,61375403,6.06,2147,13.19,,,,,350
1/2007,01,2007,,,2720262951,71410568,0.38,21407,13.19,,,,,350
2/2007,02,2007,,,2720262951,71410568,-1.68,20896,12.93,,,,,350
3/2007,03,2007,4.2,154998898597798,2720262951,71410568,4.36,20909,12.93,,,,,350
4/2007,04,2007,,,2720262951,71410568,6.88,20231,12.68,,,,,380
5/2007,05,2007,,,2720262951,71410568,6.77,19922,12.68,,,,,380
6/2007,06,2007,5.3,541435292262356,2720262951,71410568,4.06,19097,12.43,,,,,380
7/2007,07,2007,,,2720262951,71410568,-0.39,18684,11.93,,,,,380
8/2007,08,2007,,,2720262951,71410568,0.84,20043,11.43,,,,,380
9/2007,09,2007,5.6,770288981639884,2720262951,71410568,10.67,19031,11.18,,,,,380
10/2007,10,2007,,,2720262951,71410568,8.03,18078,11.18,,,,,380
11/2007,11,2007,,,2720262951,71410568,-3.54,17378,11.18,,,,,380
12/2007,12,2007,6.1,919699451783864,2720262951,71410568,1.4,17959,11.18,,,,,380
1/2008,01,2008,,,3109803097,82417564,-6.88,1745,11.18,,,,,380
2/2008,02,2008,,,3109803097,82417564,6.72,17541,11.18,,,,,380
3/2008,03,2008,6.3,894319991514425,3109803097,82417564,-3.97,16947,11.18,,,,,415
4/2008,04,2008,,,3109803097,82417564,11.32,16822,11.18,,,,,415
5/2008,05,2008,,,3109803097,82417564,6.96,16601,11.63,,,,,415
6/2008,06,2008,6.3,684917843534518,3109803097,82417564,-10.43,16368,11.63,,,,,415
7/2008,07,2008,,,3109803097,82417564,-8.48,1591,12.17,,,,,415
8/2008,08,2008,,,3109803097,82417564,-6.43,16389,12.92,,,,,415
